                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2142,                 4.3784,                  2.618,                 1.5372,                0.00333,                      1,                0.77291,                0.53221,                0.00333,                      1,                0.58799,                0.47344,                0.49205,                 1.9213,                 2.9931,                 1.0144,                0.00022,                0.00022,                0.00022
                      2,                0.95086,                 1.9236,                 1.4099,                  1.287,                0.00333,                      1,                0.89817,                0.66719,                0.00317,                   0.95,                0.89384,                0.63374,                0.79154,                 1.7422,                 2.7141,                 1.4369,             0.00043723,             0.00043723,             0.00043723
                      3,                0.95986,                 1.6292,                  1.255,                  1.297,                      1,                0.29852,                0.75396,                0.46717,                      1,                0.29852,                0.77858,                0.44253,                 1.3303,                 1.9754,                 3.0987,                 1.8746,              0.0006307,              0.0006307,              0.0006307
                      4,                0.88186,                 1.5304,                 1.1224,                  1.217,                0.74927,                0.44839,                0.56804,                0.34331,                0.73643,                0.42015,                0.48168,                0.25451,                 1.6576,                 4.7718,                 2.8835,                 2.4002,             0.00080041,             0.00080041,             0.00080041
                      5,                  1.008,                 1.5981,                 1.1625,                 1.2705,                0.80277,                   0.75,                0.83176,                0.56561,                0.80277,                   0.75,                 0.8284,                0.48405,                 1.0767,                 2.2694,                 2.2561,                 1.8516,             0.00094636,             0.00094636,             0.00094636
                      6,                0.97092,                 1.4545,                 1.0901,                 1.2807,                  0.977,                    0.9,                0.98795,                0.67331,                0.85865,                0.91161,                 0.9276,                0.64575,                 1.1064,                 3.3662,                 1.7375,                 2.4652,              0.0010685,              0.0010685,              0.0010685
                      7,                0.96331,                 1.5131,                 1.0485,                  1.266,                 0.6048,                0.84196,                0.70573,                0.33105,                0.60667,                0.84837,                0.70748,                0.35673,                 1.5028,                 4.0998,                 3.8056,                 2.3041,               0.001167,               0.001167,               0.001167
                      8,                0.88052,                 1.4335,                0.97243,                 1.2306,                0.94863,                      1,                0.98548,                0.57717,                0.94863,                      1,                0.98548,                0.53664,                 1.2236,                 3.0313,                 1.7673,                 2.6332,              0.0012416,              0.0012416,              0.0012416
                      9,                0.94083,                 1.4059,                 0.9101,                 1.2218,                0.89244,                   0.95,                0.92779,                0.66926,                0.86348,                   0.95,                0.92038,                0.62799,                0.85792,                 3.2485,                 1.9626,                 1.9647,               0.001208,               0.001208,               0.001208
                     10,                0.87637,                 1.3954,                0.87403,                 1.1789,                0.91522,                    0.9,                0.92765,                0.57928,                0.80942,                    0.8,                 0.7939,                 0.4529,                 1.0727,                 7.6602,                 2.5208,                 2.3611,               0.001109,               0.001109,               0.001109
                     11,                0.88405,                 1.2337,                  1.547,                  1.374,                0.94702,                      1,                0.97357,                0.67344,                0.94702,                      1,                0.99024,                0.71583,                0.85811,                 1.7173,                 1.1943,                 1.7763,                0.00101,                0.00101,                0.00101
                     12,                0.77233,                 1.1787,                 1.3114,                 1.2625,                 0.9047,                0.94931,                0.96602,                0.74155,                0.78567,                 0.9169,                0.95108,                0.71163,                0.79918,                 2.0481,                 1.5933,                 1.4735,               0.000911,               0.000911,               0.000911
                     13,                 0.7943,                 1.2303,                 1.2657,                 1.3273,                0.98989,                      1,                  0.995,                0.65026,                0.98989,                      1,                  0.995,                0.67295,                 1.0551,                 1.5045,                 1.2035,                 2.0123,               0.000812,               0.000812,               0.000812
                     14,                0.73533,                 1.1737,                 1.0972,                 1.2316,                0.83163,                      1,                0.93194,                0.69138,                0.82299,                   0.95,                0.89576,                0.64895,                0.92135,                 1.6076,                 1.1928,                 1.6905,               0.000713,               0.000713,               0.000713
                     15,                0.66057,                0.98853,                 1.0013,                   1.17,                0.94754,                      1,                 0.9831,                0.81417,                0.94754,                      1,                 0.9831,                0.75872,                0.64223,                 1.5673,                0.87948,                 1.2076,               0.000614,               0.000614,               0.000614
                     16,                0.66547,                0.99774,                0.96398,                 1.1694,                0.99151,                      1,                  0.995,                0.83106,                0.99151,                      1,                  0.995,                0.81282,                0.62455,                 1.5094,                0.88095,                 1.1292,               0.000515,               0.000515,               0.000515
                     17,                0.61244,                 0.9222,                0.88652,                 1.1249,                0.99447,                   0.95,                0.99262,                0.79654,                0.99447,                   0.95,                0.99045,                0.74711,                0.65772,                 1.5214,                0.88265,                  1.222,               0.000416,               0.000416,               0.000416
                     18,                0.62981,                 0.9485,                0.86999,                 1.1672,                      1,                0.99276,                  0.995,                0.79147,                      1,                0.99276,                  0.995,                0.76185,                 0.6244,                  1.509,                0.85532,                 1.1579,               0.000317,               0.000317,               0.000317
                     19,                0.56321,                0.88958,                0.82871,                 1.0742,                0.99408,                      1,                  0.995,                0.82923,                0.99408,                      1,                  0.995,                0.80146,                0.58893,                 1.4503,                0.80144,                 1.0952,               0.000218,               0.000218,               0.000218
                     20,                0.54131,                 1.0413,                 0.8088,                 1.0926,                0.99496,                      1,                  0.995,                0.84395,                0.99496,                      1,                  0.995,                0.81886,                0.55364,                 1.4551,                0.73225,                 1.0731,               0.000119,               0.000119,               0.000119
